Monthly Temperature - (Celsius), Year, Model, Statistics, Country, ISO3
-0.52557135, 2020-2039, bcc_csm1_1, Jan Average, Afghanistan, AFG
1.2796416, 2020-2039, bcc_csm1_1, Feb Average, Afghanistan, AFG
6.6105323, 2020-2039, bcc_csm1_1, Mar Average, Afghanistan, AFG
13.256128, 2020-2039, bcc_csm1_1, Apr Average, Afghanistan, AFG
19.370426, 2020-2039, bcc_csm1_1, May Average, Afghanistan, AFG
25.495838, 2020-2039, bcc_csm1_1, Jun Average, Afghanistan, AFG
27.895622, 2020-2039, bcc_csm1_1, Jul Average, Afghanistan, AFG
26.00823, 2020-2039, bcc_csm1_1, Aug Average, Afghanistan, AFG
21.114836, 2020-2039, bcc_csm1_1, Sep Average, Afghanistan, AFG
13.905177, 2020-2039, bcc_csm1_1, Oct Average, Afghanistan, AFG
6.791736, 2020-2039, bcc_csm1_1, Nov Average, Afghanistan, AFG
1.0472609, 2020-2039, bcc_csm1_1, Dec Average, Afghanistan, AFG
0.021448933, 2020-2039, bcc_csm1_1_m, Jan Average, Afghanistan, AFG
2.081519, 2020-2039, bcc_csm1_1_m, Feb Average, Afghanistan, AFG
7.2764454, 2020-2039, bcc_csm1_1_m, Mar Average, Afghanistan, AFG
13.956526, 2020-2039, bcc_csm1_1_m, Apr Average, Afghanistan, AFG
21.001423, 2020-2039, bcc_csm1_1_m, May Average, Afghanistan, AFG
25.82447, 2020-2039, bcc_csm1_1_m, Jun Average, Afghanistan, AFG
28.718058, 2020-2039, bcc_csm1_1_m, Jul Average, Afghanistan, AFG
26.401978, 2020-2039, bcc_csm1_1_m, Aug Average, Afghanistan, AFG
20.868788, 2020-2039, bcc_csm1_1_m, Sep Average, Afghanistan, AFG
14.509201, 2020-2039, bcc_csm1_1_m, Oct Average, Afghanistan, AFG
7.1828017, 2020-2039, bcc_csm1_1_m, Nov Average, Afghanistan, AFG
1.6942776, 2020-2039, bcc_csm1_1_m, Dec Average, Afghanistan, AFG
0.24159296, 2020-2039, ccsm4, Jan Average, Afghanistan, AFG
2.911357, 2020-2039, ccsm4, Feb Average, Afghanistan, AFG
7.445787, 2020-2039, ccsm4, Mar Average, Afghanistan, AFG
13.415072, 2020-2039, ccsm4, Apr Average, Afghanistan, AFG
20.841665, 2020-2039, ccsm4, May Average, Afghanistan, AFG
26.16747, 2020-2039, ccsm4, Jun Average, Afghanistan, AFG
27.857607, 2020-2039, ccsm4, Jul Average, Afghanistan, AFG
27.032358, 2020-2039, ccsm4, Aug Average, Afghanistan, AFG
21.726162, 2020-2039, ccsm4, Sep Average, Afghanistan, AFG
14.645015, 2020-2039, ccsm4, Oct Average, Afghanistan, AFG
7.3172584, 2020-2039, ccsm4, Nov Average, Afghanistan, AFG
1.8396741, 2020-2039, ccsm4, Dec Average, Afghanistan, AFG
-0.4090722, 2020-2039, cesm1_cam5, Jan Average, Afghanistan, AFG
2.0950124, 2020-2039, cesm1_cam5, Feb Average, Afghanistan, AFG
7.734951, 2020-2039, cesm1_cam5, Mar Average, Afghanistan, AFG
15.396912, 2020-2039, cesm1_cam5, Apr Average, Afghanistan, AFG
22.334517, 2020-2039, cesm1_cam5, May Average, Afghanistan, AFG
26.885305, 2020-2039, cesm1_cam5, Jun Average, Afghanistan, AFG
28.696827, 2020-2039, cesm1_cam5, Jul Average, Afghanistan, AFG
27.010576, 2020-2039, cesm1_cam5, Aug Average, Afghanistan, AFG
22.689281, 2020-2039, cesm1_cam5, Sep Average, Afghanistan, AFG
15.680907, 2020-2039, cesm1_cam5, Oct Average, Afghanistan, AFG
7.7392116, 2020-2039, cesm1_cam5, Nov Average, Afghanistan, AFG
1.9251078, 2020-2039, cesm1_cam5, Dec Average, Afghanistan, AFG
-2.5427933, 2020-2039, csiro_mk3_6_0, Jan Average, Afghanistan, AFG
1.3589482, 2020-2039, csiro_mk3_6_0, Feb Average, Afghanistan, AFG
7.2889805, 2020-2039, csiro_mk3_6_0, Mar Average, Afghanistan, AFG
13.5223, 2020-2039, csiro_mk3_6_0, Apr Average, Afghanistan, AFG
19.211573, 2020-2039, csiro_mk3_6_0, May Average, Afghanistan, AFG
24.540924, 2020-2039, csiro_mk3_6_0, Jun Average, Afghanistan, AFG
26.166954, 2020-2039, csiro_mk3_6_0, Jul Average, Afghanistan, AFG
24.00272, 2020-2039, csiro_mk3_6_0, Aug Average, Afghanistan, AFG
18.135191, 2020-2039, csiro_mk3_6_0, Sep Average, Afghanistan, AFG
11.920159, 2020-2039, csiro_mk3_6_0, Oct Average, Afghanistan, AFG
4.2964697, 2020-2039, csiro_mk3_6_0, Nov Average, Afghanistan, AFG
-1.5594124, 2020-2039, csiro_mk3_6_0, Dec Average, Afghanistan, AFG
3.2959046, 2020-2039, fio_esm, Jan Average, Afghanistan, AFG
5.512813, 2020-2039, fio_esm, Feb Average, Afghanistan, AFG
8.951613, 2020-2039, fio_esm, Mar Average, Afghanistan, AFG
15.379173, 2020-2039, fio_esm, Apr Average, Afghanistan, AFG
20.341389, 2020-2039, fio_esm, May Average, Afghanistan, AFG
25.657047, 2020-2039, fio_esm, Jun Average, Afghanistan, AFG
28.023052, 2020-2039, fio_esm, Jul Average, Afghanistan, AFG
26.587074, 2020-2039, fio_esm, Aug Average, Afghanistan, AFG
21.854618, 2020-2039, fio_esm, Sep Average, Afghanistan, AFG
15.514476, 2020-2039, fio_esm, Oct Average, Afghanistan, AFG
9.337882, 2020-2039, fio_esm, Nov Average, Afghanistan, AFG
3.872756, 2020-2039, fio_esm, Dec Average, Afghanistan, AFG
-1.9533823, 2020-2039, gfdl_cm3, Jan Average, Afghanistan, AFG
-0.84540737, 2020-2039, gfdl_cm3, Feb Average, Afghanistan, AFG
5.6706686, 2020-2039, gfdl_cm3, Mar Average, Afghanistan, AFG
11.854111, 2020-2039, gfdl_cm3, Apr Average, Afghanistan, AFG
18.018717, 2020-2039, gfdl_cm3, May Average, Afghanistan, AFG
24.010303, 2020-2039, gfdl_cm3, Jun Average, Afghanistan, AFG
27.79396, 2020-2039, gfdl_cm3, Jul Average, Afghanistan, AFG
26.352554, 2020-2039, gfdl_cm3, Aug Average, Afghanistan, AFG
21.259151, 2020-2039, gfdl_cm3, Sep Average, Afghanistan, AFG
14.398182, 2020-2039, gfdl_cm3, Oct Average, Afghanistan, AFG
6.9041705, 2020-2039, gfdl_cm3, Nov Average, Afghanistan, AFG
-0.30065998, 2020-2039, gfdl_cm3, Dec Average, Afghanistan, AFG
-0.001611604, 2020-2039, gfdl_esm2m, Jan Average, Afghanistan, AFG
2.3650668, 2020-2039, gfdl_esm2m, Feb Average, Afghanistan, AFG
7.028968, 2020-2039, gfdl_esm2m, Mar Average, Afghanistan, AFG
13.228291, 2020-2039, gfdl_esm2m, Apr Average, Afghanistan, AFG
19.421251, 2020-2039, gfdl_esm2m, May Average, Afghanistan, AFG
25.56969, 2020-2039, gfdl_esm2m, Jun Average, Afghanistan, AFG
28.369528, 2020-2039, gfdl_esm2m, Jul Average, Afghanistan, AFG
26.809185, 2020-2039, gfdl_esm2m, Aug Average, Afghanistan, AFG
22.516665, 2020-2039, gfdl_esm2m, Sep Average, Afghanistan, AFG
